19.75,14.36;9.35,23.98
15.13,3.58;34.76,42.46
34.38,40.54;20.13,33.99
35.92,49.01;64.79,57.09
50.55,68.25;51.70,44.77
57.47,42.08;39.38,48.62
21.29,41.31;73.26,70.95
49.01,28.99;77.88,81.73
20.52,35.15;97.13,84.81
79.03,99.05;27.06,29.37
109.83,122.15;27.83,41.69
108.29,109.83;38.61,56.32
96.74,83.65;55.55,70.95
82.11,69.79;66.33,80.19
78.26,66.71;62.48,74.80
69.02,61.32;60.17,75.57
75.18,64.40;36.30,50.16
85.19,72.10;35.53,55.55
58.24,35.92;84.04,91.74
75.18,85.96;96.36,113.29
129.85,126.77;20.13,39.38
132.93,128.31;8.58,30.14
105.98,86.73;62.48,82.50
99.82,83.65;74.03,87.12
152.18,135.24;81.73,77.88
116.76,134.47;71.72,71.72
163.72,168.34;8.58,27.83
176.04,186.82;26.29,41.69
25.91,13.59;194.14,176.43
38.23,19.75;113.29,123.30
53.62,32.07;116.37,128.69
42.85,18.21;125.61,130.23
72.87,56.70;153.33,165.65
67.48,42.85;180.28,179.51
133.70,110.60;109.44,117.14
213.77,192.98;104.05,109.44
184.51,160.64;104.82,108.67
192.98,174.50;94.82,99.44
197.60,180.66;82.50,90.97
164.49,159.87;55.55,36.30
182.20,157.56;55.55,57.86
221.47,234.56;90.20,101.75
223.01,235.33;100.98,116.37
252.27,269.97;130.23,141.78
274.59,270.74;23.98,44.00
253.04,253.81;32.45,53.24
223.01,235.33;6.27,21.67
247.65,268.43;67.87,77.88
290.76,305.39;98.67,119.45
313.09,323.87;85.58,101.75
319.25,335.42;107.90,125.61
293.07,312.32;21.67,32.45
296.92,300.00;30.14,49.39
204.53,179.12;119.45,127.92
221.47,204.53;136.39,144.86
196.83,168.34;146.40,149.48
115.99,139.09;181.82,177.97
132.16,127.54;178.74,197.22
114.45,125.23;207.99,226.47
54.39,32.07;235.71,240.33
88.27,63.63;283.45,281.91
80.57,59.78;278.06,268.05
22.83,5.12;277.29,290.38
15.13,1.27;288.07,293.46
57.47,66.71;207.22,222.62
45.93,69.79;188.75,187.98
76.72,58.24;161.80,175.66
76.72,55.16;169.50,181.82
87.50,89.04;210.30,222.62
99.82,91.35;288.07,269.59
122.92,101.36;295.77,295.77
152.18,136.01;298.08,280.37
159.87,142.17;293.46,277.29
208.38,179.12;163.34,161.80
30.53,8.97;305.01,307.32
53.62,29.76;321.17,325.02
82.11,81.34;333.49,309.62
130.62,109.06;317.32,313.47
152.95,126.77;308.08,301.16
163.72,139.09;299.62,313.47
168.34,189.13;261.12,256.50
189.13,177.58;255.73,245.72
105.21,95.20;234.94,248.80
192.98,199.14;308.85,321.94
248.42,243.03;264.20,284.99
239.18,231.48;271.13,283.45
249.19,234.56;239.56,243.41
249.19,229.17;233.40,232.63
235.33,248.42;214.15,224.16
236.87,257.65;205.68,205.68
219.93,229.17;197.22,214.92
186.05,167.57;225.70,218.00
186.82,166.03;232.63,229.55
163.72,183.74;211.07,208.76
230.71,207.61;167.96,173.35
217.62,202.22;293.46,287.30
107.52,95.97;146.40,157.18
228.40,210.69;184.90,179.51
239.95,221.47;184.90,179.51
267.66,284.60;166.42,174.89
283.06,264.58;164.11,154.10
230.71,223.01;145.63,129.46
335.42,320.02;133.31,140.24
323.87,336.96;146.40,154.87
316.94,327.72;148.71,160.26
315.40,313.09;157.18,175.66
293.84,308.47;154.10,164.11
350.05,359.28;47.08,62.48
344.66,353.90;54.01,67.10
330.80,339.27;43.23,57.09
338.50,340.81;44.77,60.17
326.18,334.65;70.18,84.04
366.21,347.74;93.28,90.97
386.23,382.38;76.34,94.05
370.83,368.52;158.72,172.58
363.13,348.51;162.57,173.35
366.98,372.37;104.05,117.91
459.38,444.75;24.75,30.14
406.25,419.34;84.81,94.82
438.59,446.29;89.43,106.36
452.45,458.61;91.74,107.13
470.92,463.99;52.47,37.07
409.33,423.96;24.75,20.90
424.73,426.27;5.50,17.82
403.17,397.01;25.52,37.84
414.72,420.88;31.68,44.77
428.58,430.89;28.60,42.46
465.53,465.53;114.83,130.23
417.80,400.09;176.43,170.27
410.87,390.85;166.42,166.42
388.54,397.01;157.95,144.09
437.82,424.73;139.47,151.02
498.64,480.16;194.91,194.14
486.32,476.31;201.84,211.84
443.98,457.84;215.69,225.70
387.77,396.24;185.67,197.99
385.46,400.09;194.91,202.61
391.62,406.25;204.92,211.07
394.70,410.10;217.23,225.70
430.89,440.90;185.67,197.99
376.22,360.82;269.59,270.36
375.45,355.44;292.69,292.69
393.16,383.15;279.60,295.00
470.15,457.07;290.38,302.70
486.32,476.31;278.83,292.69
501.72,486.32;264.20,255.73
489.40,503.26;245.72,241.10
403.17,383.92;336.57,331.18
