232.94,227.27;53.01,38.25
212.51,206.26;66.06,55.28
214.21,201.72;35.41,34.27
210.24,201.72;7.60,16.68
131.34,137.58;49.03,40.52
139.28,148.37;55.84,63.22
204.56,197.18;111.47,102.96
234.08,242.59;137.58,146.10
83.09,95.58;144.96,143.83
189.24,200.02;164.83,171.64
244.30,232.94;183.56,191.51
222.16,214.21;191.51,181.86
87.06,87.06;226.70,237.48
96.71,95.58;221.59,210.24
103.52,106.93;199.45,186.97
101.25,93.87;181.29,174.48
70.03,80.82;207.97,200.02
50.74,45.63;169.37,158.58
60.95,73.44;170.50,163.69
71.17,60.38;182.42,190.94
104.66,114.31;43.92,51.30
118.85,130.77;45.06,38.81
114.31,120.55;42.22,32.00
59.25,72.87;88.20,90.47
96.71,89.90;96.15,87.06
50.17,64.36;96.71,89.90
35.98,41.65;131.91,121.69
25.19,32.57;131.91,120.55
228.40,215.35;246.00,250.54
229.54,239.75;226.13,234.08
210.81,217.05;211.37,222.16
221.59,229.54;213.08,222.73
196.62,209.67;240.32,235.21
165.40,163.13;236.92,250.54
107.50,122.26;105.79,107.50
116.58,128.50;93.31,99.55
148.37,162.56;47.90,47.90
246.57,241.46;112.61,100.69
249.97,244.30;105.23,93.87
240.32,248.27;135.88,145.53
238.62,245.43;123.96,133.04
221.02,232.94;100.69,105.23
214.78,227.27;119.99,114.31
14.41,16.11;225.00,213.64
37.11,39.95;247.13,235.78
51.87,51.87;194.91,183.56
96.71,97.85;165.96,180.72
111.47,118.28;167.10,158.02
150.07,163.13;129.07,133.61
135.31,149.50;132.47,134.74
143.83,155.75;137.58,141.56
189.24,179.02;146.10,139.28
185.83,179.02;139.28,130.77
165.96,176.18;107.50,110.34
161.99,173.34;100.69,104.66
193.78,193.78;85.36,74.58
202.86,193.78;91.04,85.93
179.02,167.67;211.37,206.26
63.79,75.71;106.93,107.50
75.14,87.06;114.88,113.74
227.27,239.75;206.83,209.67
247.51,253.33;10.29,3.94
204.67,193.56;4.47,7.11
250.15,255.97;93.86,86.98
123.21,122.68;201.23,190.65
122.68,127.97;212.33,203.34
207.84,217.89;131.94,137.23
203.08,196.73;134.58,126.65
207.31,218.95;124.53,120.30
251.93,255.74;47.36,35.17
288.50,277.83;117.45,112.88
297.64,308.31;118.21,125.07
410.40,399.74;144.88,153.26
398.21,386.79;152.50,144.12
341.83,335.74;115.17,104.50
357.83,361.64;105.26,118.21
392.88,385.26;102.98,92.31
334.21,328.12;67.17,57.26
342.60,332.69;136.50,129.64
317.45,321.26;161.64,173.07
417.26,414.21;68.69,80.12
417.26,426.40;53.45,63.36
445.45,453.83;68.69,77.07
449.26,453.07;98.40,110.60
470.60,456.12;138.02,141.83
446.21,430.98;162.40,161.64
426.40,417.26;148.69,139.55
293.07,298.40;132.69,118.98
331.93,318.21;31.36,35.17
351.74,337.26;47.36,48.88
338.79,350.21;57.26,68.69
396.69,402.02;49.64,61.07
371.55,382.21;77.07,70.21
360.12,369.26;78.60,88.50
386.02,392.12;34.40,25.26
393.64,395.93;38.21,27.55
475.93,477.45;64.88,51.17
443.17,454.60;16.88,12.31
471.36,461.45;112.12,102.21
472.88,465.26;144.12,154.02
397.45,407.36;219.55,214.21
279.36,284.69;224.88,237.07
498.02,501.83;77.07,89.26
434.02,430.21;146.40,157.07
491.93,503.36;147.17,150.98
497.26,495.74;157.83,169.26
491.17,494.21;236.31,250.02
462.21,467.55;256.12,269.07
457.64,455.36;273.64,285.83
461.45,467.55;291.93,301.07
459.93,459.93;304.12,315.55
461.45,462.98;329.26,342.98
486.60,498.79;339.93,341.45
478.21,487.36;344.50,350.60
474.40,485.07;349.07,354.40
482.79,487.36;362.02,372.69
437.07,447.74;327.74,334.60
451.55,455.36;327.74,338.40
469.07,471.36;323.93,334.60
468.31,474.40;309.45,320.12
439.36,439.36;256.88,271.36
373.83,387.55;321.64,325.45
421.07,425.64;334.60,345.26
429.45,429.45;338.40,349.83
439.36,432.50;368.12,375.74
462.21,474.40;389.45,386.40
443.93,434.79;387.93,394.79
494.21,498.02;435.17,425.26
485.07,491.17;416.88,406.98
473.64,465.26;405.45,416.88
463.74,469.07;451.17,462.60
458.40,449.26;466.40,471.74
442.40,446.21;474.79,486.21
434.02,438.60;488.50,499.93
269.38,272.41;281.87,293.99
370.87,373.14;177.35,187.20
374.65,386.01;246.28,246.28
389.04,395.10;259.91,269.75
353.45,348.14;253.85,260.67
341.33,335.27;248.55,257.64
287.55,279.22;290.96,299.29
163.34,171.67;293.99,288.69
324.67,336.03;381.85,374.28
494.32,496.59;284.90,297.02
359.51,367.84;364.43,353.83
379.96,378.44;364.43,354.58
264.83,272.41;350.04,361.40
249.68,237.57;367.46,369.73
274.68,265.59;324.29,328.83
308.76,308.00;324.29,335.65
304.22,302.70;314.44,328.07
326.94,323.15;294.75,306.87
317.09,318.61;306.87,293.23
311.79,309.52;310.65,298.54
345.87,357.23;230.37,232.64
300.43,300.43;215.22,227.34
289.07,298.91;202.35,206.13
240.59,240.59;279.60,267.48
482.96,481.45;472.74,483.34
417.07,423.13;462.89,475.77
429.94,435.25;462.89,473.49
423.88,430.70;468.19,478.04
333.00,320.88;490.16,489.40
358.75,346.63;488.64,484.86
373.14,359.51;475.01,476.52
348.90,336.03;477.28,478.80
312.55,306.49;466.68,456.07
323.15,311.79;448.50,447.74
355.72,343.60;404.57,408.36
89.12,82.30;462.13,451.53
95.17,106.54;334.89,340.19
139.10,142.13;361.40,349.28
395.86,399.65;474.25,485.61
389.04,376.93;462.89,464.41
365.57,352.69;428.05,428.81
58.82,64.12;379.58,368.97
203.48,201.21;359.88,372.00
186.82,175.46;305.35,310.65
205.00,200.45;302.32,312.17
199.70,212.57;319.74,319.74
313.30,322.39;428.81,438.65
227.37,222.78;278.34,268.38
190.58,202.85;272.98,279.11
212.04,224.31;276.81,283.71
212.81,199.01;287.54,293.67
157.63,176.02;299.04,298.27
167.59,169.12;304.40,318.20
164.52,162.22;336.60,322.80
172.96,186.75;170.27,172.57
156.86,171.42;176.40,177.94
251.90,256.50;215.49,228.52
247.30,241.17;201.70,190.20
438.15,451.95;230.82,239.25
451.95,445.05;170.27,183.30
90.94,80.98;426.27,417.07
109.34,117.00;419.37,429.34
117.77,121.60;410.18,395.61
103.21,118.54;385.65,388.72
257.27,247.30;458.46,446.20
288.69,294.82;456.93,469.96
287.93,271.06;419.37,423.97
419.76,414.39;449.27,461.53
411.33,415.16;463.06,478.39
477.24,487.21;421.67,430.87
441.99,443.52;305.17,320.50
405.96,392.16;418.61,418.61
435.09,424.36;451.57,443.90
424.36,438.92;440.07,433.94
169.12,159.93;478.39,469.19
193.65,202.08;482.99,494.49
195.95,178.32;495.25,492.96
175.25,159.93;439.30,432.40
170.66,173.72;433.94,418.61
389.10,392.16;482.22,496.79
369.17,353.07;408.64,410.94
367.64,350.01;420.91,423.21
153.03,153.03;407.11,391.01
66.42,73.31;347.33,335.06
38.06,43.42;369.55,355.76
357.67,369.94;268.38,261.48
356.14,372.24;291.37,291.37
353.07,357.67;316.67,329.70
363.04,365.34;309.77,325.87
57.22,73.31;125.05,124.28
322.42,328.55;183.30,194.03
352.31,345.41;155.71,144.98
348.48,340.04;163.37,152.64
422.06,427.42;96.69,108.19
477.24,472.64;114.32,125.82
483.37,471.88;106.66,91.33
485.67,487.97;94.39,80.60
143.06,153.03;276.04,265.31
100.14,113.94;486.06,484.52
146.90,128.50;423.97,425.51
201.31,184.45;444.67,441.60
261.10,244.24;341.96,347.33
463.45,463.45;480.69,494.49
500.24,500.24;480.69,494.49
96.31,111.64;261.48,253.82
68.72,80.98;433.17,427.81
56.45,64.12;423.21,411.71
27.33,14.30;441.60,450.03
166.06,166.06;377.99,397.15
176.02,180.62;366.49,351.16
251.13,267.23;412.48,407.11
340.04,324.72;470.73,474.56
390.63,377.60;167.97,158.78
314.84,295.65;78.41,75.34
299.49,311.77;85.32,74.57
357.06,355.52;117.56,99.91
406.95,397.74;157.48,169.76
261.87,248.06;56.15,54.62
263.41,252.66;79.95,71.50
